function,energy_uJ
handle_data_drift,0.0
execute_mape_plan,112976.0
execute_mape_plan,1464901.0
switch_model_r2_baseline,544188.0
switch_model_r2_baseline,71045.0
switch_model_r2_baseline,113586.0
switch_model_r2_baseline,119995.0
switch_model_r2_baseline,550536.0
switch_model_r2_baseline,87890.0
switch_model_r2_baseline,114135.0
switch_model_r2_baseline,96374.0
switch_model_r2_baseline,4894763.0
switch_model_r2_baseline,43579.0
switch_model_r2_baseline,52673.0
switch_model_r2_baseline,33203.0
switch_model_r2_baseline,44922.0
switch_model_r2_baseline,231750.0
switch_model_r2_baseline,116577.0
switch_model_r2_baseline,206359.0
switch_model_r2_baseline,1281491.0
switch_model_r2_baseline,57556.0
switch_model_r2_baseline,267883.0
switch_model_r2_baseline,51147.0
switch_model_r2_baseline,1086240.0
switch_model_r2_baseline,37964.0
switch_model_r2_baseline,37414.0
switch_model_r2_baseline,298278.0
switch_model_r2_baseline,44372.0
switch_model_r2_baseline,51025.0
switch_model_r2_baseline,56214.0
switch_model_r2_baseline,54504.0
switch_model_r2_baseline,204894.0
switch_model_r2_baseline,25390.0
switch_model_r2_baseline,33020.0
switch_model_r2_baseline,38940.0
switch_model_r2_baseline,1163938.0
switch_model_r2_baseline,222106.0
switch_model_r2_baseline,66955.0
switch_model_r2_baseline,81726.0
switch_model_r2_baseline,50476.0
switch_model_r2_baseline,67871.0
switch_model_r2_baseline,63965.0
switch_model_r2_baseline,3587454.0
switch_model_r2_baseline,1046872.0
switch_model_r2_baseline,1074704.0
switch_model_r2_baseline,861387.0
switch_model_r2_baseline,991574.0
switch_model_r2_baseline,22461.0
switch_model_r2_baseline,88684.0
switch_model_r2_baseline,44617.0
switch_model_r2_baseline,58289.0
switch_model_r2_baseline,43274.0
switch_model_r2_baseline,57006.0
switch_model_r2_baseline,51513.0
switch_model_r2_baseline,42175.0
switch_model_r2_baseline,40527.0
switch_model_r2_baseline,36804.0
switch_model_r2_baseline,78613.0
switch_model_r2_baseline,45166.0
switch_model_r2_baseline,46142.0
switch_model_r2_baseline,176025.0
switch_model_r2_baseline,41382.0
switch_model_r2_baseline,87829.0
switch_model_r2_baseline,54809.0
switch_model_r2_baseline,52002.0
switch_model_r2_baseline,49438.0
switch_model_r2_baseline,36255.0
switch_model_r2_baseline,51086.0
switch_model_r2_baseline,83923.0
switch_model_r2_baseline,43823.0
switch_model_r2_baseline,34485.0
switch_model_r2_baseline,49926.0
switch_model_r2_baseline,38758.0
switch_model_r2_baseline,45837.0
switch_model_r2_baseline,57495.0
switch_model_r2_baseline,80566.0
switch_model_r2_baseline,48950.0
